cat;catRaw;catEBSD;microscope;EDS;sample;thinSection;XCells;XStep;YStep;YCells;lithologyDef;facies_EGDmixte;facies_GOS1;facies_GOS2;facies_GOS1.5;facies_GOS0.5;facies_EGD200
85Z31C-DETAIL-c;85Z31C-DETAIL-r;85Z31C-DETAIL;CAMSCAN CRYSTAL PROBE X500FE;y;85Z31C;85Z31C;4525.0;5.0;5.0;1523.0;peridotite;mylonite BT;mylonite BT;ultramylonite;mylonite BT;mylonite BT;ultramylonite
85ZA1-DETAIL-c;85ZA1-DETAIL-r;85ZA1-DETAIL;CAMSCAN CRYSTAL PROBE X500FE;y;85ZA1;85ZA1;1250.0;10.0;10.0;1267.0;peridotite;mylonite HT;mylonite HT;mylonite BT;mylonite HT;mylonite HT;mylonite HT
85ZA1-c;85ZA1-r;85ZA1;JEOL 5600;n;85ZA1;85ZA1;1423.0;24.0;24.0;724.0;peridotite;mylonite HT;mylonite HT;mylonite BT;mylonite HT;mylonite HT;mylonite HT
85ZA11-DETAIL-c;85ZA11-DETAIL-r;85ZA11-DETAIL;CAMSCAN CRYSTAL PROBE X500FE;y;85ZA11;85ZA11;1353.0;5.5;5.5;2349.0;peridotite;ultramylonite;ultramylonite;ultramylonite;ultramylonite;mylonite BT;ultramylonite
85ZA11-MICRO1-c;85ZA11-MICRO1-r;85ZA11-MICRO1;JEOL 5600;n;85ZA11;85ZA11;1444.0;3.5;3.5;708.0;peridotite;ultramylonite;ultramylonite;ultramylonite;ultramylonite;mylonite BT;ultramylonite
85ZA11-MICRO2-c;85ZA11-MICRO2-r;85ZA11-MICRO2;JEOL 5600;n;85ZA11;85ZA11;1127.0;2.5;2.5;920.0;peridotite;ultramylonite;ultramylonite;ultramylonite;ultramylonite;mylonite BT;ultramylonite
85ZA11-c;85ZA11-r;85ZA11;JEOL 5600;n;85ZA11;85ZA11;2014.0;17.0;17.0;1018.0;peridotite;ultramylonite;ultramylonite;ultramylonite;ultramylonite;mylonite BT;ultramylonite
85ZA11Z1-CP-c;85ZA11Z1-CP-r;85ZA11Z1-CP;CAMSCAN CRYSTAL PROBE X500FE;n;85ZA11;85ZA11;1444.0;3.5;3.5;708.0;peridotite;ultramylonite;ultramylonite;ultramylonite;ultramylonite;mylonite BT;ultramylonite
85ZA11Z2-CP-c;85ZA11Z2-CP-r;85ZA11Z2-CP;CAMSCAN CRYSTAL PROBE X500FE;n;85ZA11;85ZA11;1127.0;2.5;2.5;920.0;peridotite;ultramylonite;ultramylonite;ultramylonite;ultramylonite;mylonite BT;ultramylonite
85ZA15-c;85ZA15-r;85ZA15;JEOL 5600;n;85ZA15;85ZA15;1658.0;20.0;20.0;823.0;peridotite;protomylonite BT;protomylonite BT;mylonite HT;mylonite HT;protomylonite BT;protomylonite BT
