cat;sscat;Pixels;A.Frac(all);A.Frac(Ind);nbGrains;nbGrainsRemoved
85ZA1-c;notIndexed;204464;0.19846;0;20042;0
85ZA1-c;Olivine;514907;0.49979;0.62353;10248;0
85ZA1-c;Orthopyroxene;154360;0.14983;0.18692;9393;0
85ZA1-c;Clinopyroxene;22095;0.021446;0.026756;4538;0
85ZA1-c;Spinelle;9401;0.009125;0.011384;1462;0
85ZA1-c;Pargasite2;11083;0.010758;0.013421;6946;0
85ZA1-c;Anorthite;113942;0.1106;0.13798;10295;0
85ZA45-NEW-c;notIndexed;802261;0.36229;0;100372;0
85ZA45-NEW-c;Olivine;841265;0.3799;0.59573;124291;0
85ZA45-NEW-c;Orthopyroxene;284609;0.12853;0.20154;65881;0
85ZA45-NEW-c;Clinopyroxene;30634;0.013834;0.021693;9094;0
85ZA45-NEW-c;Spinelle;30545;0.013794;0.02163;6288;0
85ZA45-NEW-c;Pargasite2;217776;0.098344;0.15421;95785;0
85ZA45-NEW-c;Anorthite;7330;0.0033101;0.0051906;3867;0
85ZA11-c;notIndexed;579449;0.28262;0;143086;0
85ZA11-c;Olivine;992999;0.48433;0.67514;345128;0
85ZA11-c;Orthopyroxene;131281;0.064032;0.089258;101003;0
85ZA11-c;Clinopyroxene;26744;0.013044;0.018183;19842;0
85ZA11-c;Spinelle;5209;0.0025407;0.0035416;1936;0
85ZA11-c;Pargasite2;314569;0.15343;0.21388;54394;0
85ZA11-c;Anorthite;1;4.8774e-07;6.799e-07;1;0
85ZA22A-c;notIndexed;788200;0.3406;0;79599;0
85ZA22A-c;Olivine;1106469;0.47813;0.7251;54750;0
85ZA22A-c;Orthopyroxene;334269;0.14445;0.21905;43066;0
85ZA22A-c;Clinopyroxene;44503;0.019231;0.029164;12716;0
85ZA22A-c;Spinelle;8341;0.0036043;0.0054661;2969;0
85ZA22A-c;Pargasite2;20814;0.0089942;0.01364;12735;0
85ZA22A-c;Anorthite;11565;0.0049975;0.0075788;1363;0
85ZA37-c;notIndexed;189910;0.2053;0;32101;0
85ZA37-c;Olivine;425591;0.46009;0.57895;25816;0
85ZA37-c;Orthopyroxene;173840;0.18793;0.23648;16695;0
85ZA37-c;Clinopyroxene;71443;0.077234;0.097187;14612;0
85ZA37-c;Spinelle;3418;0.0036951;0.0046497;1788;0
85ZA37-c;Pargasite2;2880;0.0031135;0.0039178;2239;0
85ZA37-c;Anorthite;57933;0.062629;0.078809;9416;0
85Z31C-DETAIL-c;notIndexed;1134980;0.16469;0;351352;0
85Z31C-DETAIL-c;Olivine;3982442;0.57787;0.69181;49502;0
85Z31C-DETAIL-c;Orthopyroxene;908216;0.13179;0.15777;71598;0
85Z31C-DETAIL-c;Clinopyroxene;12212;0.001772;0.0021214;10992;0
85Z31C-DETAIL-c;Spinelle;21312;0.0030925;0.0037022;3807;0
85Z31C-DETAIL-c;Bytownite;214;3.1052e-05;3.7175e-05;208;0
85Z31C-DETAIL-c;Pargasite;822363;0.11933;0.14286;41541;0
85Z31C-DETAIL-c;Calcite;9836;0.0014272;0.0017086;1250;0
85ZA1-DETAIL-c;notIndexed;174707;0.11031;0;80378;0
85ZA1-DETAIL-c;Olivine;897744;0.56685;0.63713;8097;0
85ZA1-DETAIL-c;Orthopyroxene;242863;0.15335;0.17236;13409;0
85ZA1-DETAIL-c;Clinopyroxene;24611;0.01554;0.017466;6765;0
85ZA1-DETAIL-c;Spinelle;6241;0.0039406;0.0044292;1898;0
85ZA1-DETAIL-c;Bytownite;215363;0.13598;0.15284;16126;0
85ZA1-DETAIL-c;Pargasite;22221;0.014031;0.01577;9581;0
85ZA11-DETAIL-c;notIndexed;742777;0.23371;0;236960;0
85ZA11-DETAIL-c;Olivine;1620086;0.50975;0.66522;193771;0
85ZA11-DETAIL-c;Orthopyroxene;190531;0.059949;0.078233;108751;0
85ZA11-DETAIL-c;Clinopyroxene;58959;0.018551;0.024209;27773;0
85ZA11-DETAIL-c;Spinelle;12652;0.0039809;0.005195;6278;0
85ZA11-DETAIL-c;Bytownite;202;6.3558e-05;8.2943e-05;200;0
85ZA11-DETAIL-c;Pargasite;552990;0.17399;0.22706;28967;0
85ZA11-MICRO1-c;notIndexed;61575;0.060229;0;29981;0
85ZA11-MICRO1-c;Olivine;580255;0.56757;0.60394;24920;0
85ZA11-MICRO1-c;Orthopyroxene;109782;0.10738;0.11426;19535;0
85ZA11-MICRO1-c;Clinopyroxene;18723;0.018314;0.019487;3138;0
85ZA11-MICRO1-c;Spinelle;880;0.00086076;0.00091593;298;0
85ZA11-MICRO1-c;Pargasite;251137;0.24565;0.26139;3686;0
85ZA11-MICRO2-c;notIndexed;79512;0.076687;0;29869;0
85ZA11-MICRO2-c;Olivine;529302;0.5105;0.5529;18479;0
85ZA11-MICRO2-c;Orthopyroxene;216039;0.20836;0.22567;21187;0
85ZA11-MICRO2-c;Clinopyroxene;23812;0.022966;0.024873;2871;0
85ZA11-MICRO2-c;Spinelle;4496;0.0043363;0.0046964;469;0
85ZA11-MICRO2-c;Pargasite;183679;0.17715;0.19187;3509;0
85ZA7B-DETAIL-c;notIndexed;513806;0.24834;0;135224;0
85ZA7B-DETAIL-c;Olivine;894072;0.43214;0.57491;44743;0
85ZA7B-DETAIL-c;Orthopyroxene;314727;0.15212;0.20238;74374;0
85ZA7B-DETAIL-c;Clinopyroxene;49074;0.023719;0.031556;7236;0
85ZA7B-DETAIL-c;Spinelle;9320;0.0045047;0.005993;3865;0
85ZA7B-DETAIL-c;Bytownite;212848;0.10288;0.13687;19849;0
