cat;sscat;subcat;SF;GROD;KAM;NB
85ZA1-c;Olivine;all;97.9148;1.2866;4.5216;0.92824;10248
85ZA1-c;Orthopyroxene;all;53.3322;1.236;3.2718;0.70056;9393
85ZA1-c;Clinopyroxene;all;37.5564;1.1897;2.0063;0.9439;4538
85ZA1-c;Spinelle;all;34.2664;1.185;1.0505;0.61847;1462
85ZA1-c;Pargasite2;all;29.8802;1.1685;0.91004;2.2916;6946
85ZA1-c;Anorthite;all;56.9134;1.2592;3.0419;1.2311;10295
85ZA45-NEW-c;Olivine;all;30.3287;1.2248;2.1303;1.0304;124291
85ZA45-NEW-c;Orthopyroxene;all;21.2033;1.1789;3.0834;0.72151;65881
85ZA45-NEW-c;Clinopyroxene;all;17.0416;1.155;1.7901;0.54557;9094
85ZA45-NEW-c;Spinelle;all;20.4242;1.1738;1.6726;0.87374;6288
85ZA45-NEW-c;Pargasite2;all;20.9978;1.1831;1.2948;2.0343;95785
85ZA45-NEW-c;Anorthite;all;19.208;1.169;0.64361;1.2555;3867
85ZA11-c;Olivine;all;26.1439;1.186;2.3818;1.5974;345128
85ZA11-c;Orthopyroxene;all;20.0636;1.1464;0.43184;1.4294;101003
85ZA11-c;Clinopyroxene;all;20.3783;1.1472;0.43056;1.3914;19842
85ZA11-c;Spinelle;all;24.2335;1.1723;1.4388;1.3563;1936
85ZA11-c;Pargasite2;all;36.6759;1.2277;0.97144;0.81387;54394
85ZA11-c;Anorthite;all;14.3868;1.2206;1.7075e-06;NaN;1
85ZA22A-c;Olivine;all;35.1114;1.2215;5.7457;1.2924;54750
85ZA22A-c;Orthopyroxene;all;24.1384;1.1941;2.9955;0.82991;43066
85ZA22A-c;Clinopyroxene;all;21.2633;1.1786;1.5007;0.76843;12716
85ZA22A-c;Spinelle;all;21.2526;1.1815;1.8512;1.781;2969
85ZA22A-c;Pargasite2;all;19.2078;1.1628;0.83468;1.7066;12735
85ZA22A-c;Anorthite;all;32.3147;1.2434;3.1724;1.5047;1363
85ZA37-c;Olivine;all;70.6043;1.2453;3.9141;1.0464;25816
85ZA37-c;Orthopyroxene;all;53.2024;1.226;3.9401;0.86705;16695
85ZA37-c;Clinopyroxene;all;43.962;1.1916;2.5172;1.0992;14612
85ZA37-c;Spinelle;all;33.4655;1.1686;1.5292;1.4853;1788
85ZA37-c;Pargasite2;all;31.4486;1.1546;0.47417;1.8329;2239
85ZA37-c;Anorthite;all;54.3453;1.2255;3.2212;1.757;9416
85Z31C-DETAIL-c;Olivine;all;26.1834;1.3266;2.914;0.43684;49502
85Z31C-DETAIL-c;Orthopyroxene;all;12.7698;1.2653;1.2207;0.52657;71598
85Z31C-DETAIL-c;Clinopyroxene;all;4.9519;1.1532;0.043895;0.46613;10992
85Z31C-DETAIL-c;Spinelle;all;7.8352;1.2178;0.86273;0.533;3807
85Z31C-DETAIL-c;Bytownite;all;4.5578;1.1508;0.014721;0.5761;208
85ZA1-DETAIL-c;Olivine;all;47.3792;1.2886;4.2952;0.58149;8097
85ZA1-DETAIL-c;Orthopyroxene;all;21.2198;1.2407;3.2081;0.60954;13409
85ZA1-DETAIL-c;Clinopyroxene;all;12.1581;1.1665;1.2836;0.6074;6765
85ZA1-DETAIL-c;Spinelle;all;13.802;1.185;1.4914;1.0777;1898
85ZA1-DETAIL-c;Bytownite;all;20.6042;1.2442;3.1003;0.79113;16126
85ZA1-DETAIL-c;Pargasite;all;14.3904;1.1899;1.0357;1.4321;9581
85ZA11-DETAIL-c;Olivine;all;12.8304;1.2425;1.9242;0.83147;193771
85ZA11-DETAIL-c;Orthopyroxene;all;7.1789;1.1674;0.4684;1.0017;108751
85ZA11-DETAIL-c;Clinopyroxene;all;7.8175;1.1743;0.54419;0.8771;27773
85ZA11-DETAIL-c;Spinelle;all;6.2298;1.1594;1.1263;1.0531;6278
85ZA11-DETAIL-c;Bytownite;all;5.3877;1.145;0.0076323;0.71421;200
85ZA11-MICRO1-c;Olivine;all;14.3374;1.3028;2.0307;0.57129;24920
85ZA11-MICRO1-c;Orthopyroxene;all;7.974;1.2169;0.86291;0.61037;19535
85ZA11-MICRO1-c;Clinopyroxene;all;7.8705;1.2177;0.6348;0.47025;3138
85ZA11-MICRO1-c;Spinelle;all;5.7198;1.1827;0.49801;0.68413;298
85ZA11-MICRO1-c;Pargasite;all;20.4042;1.3381;1.2771;0.42974;3686
85ZA11-MICRO2-c;Olivine;all;11.0235;1.3123;2.0957;0.50042;18479
85ZA11-MICRO2-c;Orthopyroxene;all;7.2549;1.24;1.1018;0.54379;21187
85ZA11-MICRO2-c;Clinopyroxene;all;5.8462;1.215;0.85804;0.40694;2871
85ZA11-MICRO2-c;Spinelle;all;5.5846;1.1991;0.9697;0.54471;469
85ZA11-MICRO2-c;Pargasite;all;12.8689;1.3306;1.2364;0.38225;3509
85ZA7B-DETAIL-c;Olivine;all;12.4177;1.2791;2.9747;0.61512;44743
85ZA7B-DETAIL-c;Orthopyroxene;all;7.0207;1.2155;0.77786;0.56656;74374
85ZA7B-DETAIL-c;Clinopyroxene;all;6.6503;1.1882;1.2277;0.44818;7236
85ZA7B-DETAIL-c;Spinelle;all;5.0385;1.171;1.8302;1.647;3865
85ZA7B-DETAIL-c;Bytownite;all;8.9846;1.2419;1.3748;0.48143;19849
85ZA7B-DETAIL-c;Pargasite;all;7.5909;1.232;0.76346;0.61631;14344
85ZA7B-NEW-c;Olivine;all;29.2044;1.2049;3.4375;1.4741;156662
85ZA7B-NEW-c;Orthopyroxene;all;22.2791;1.1646;1.7959;1.006;139382
85ZA7B-NEW-c;Clinopyroxene;all;24.0262;1.1713;2.0152;0.79384;28428
85ZA7B-NEW-c;Spinelle;all;22.1885;1.1754;2.2611;2.9684;3486
85ZA7B-NEW-c;Pargasite2;all;24.3546;1.1828;0.85588;1.1422;29548
85ZA7B-NEW-c;Anorthite;all;29.2141;1.1974;1.7373;0.93914;34380
85ZA45-AREA1-DETAIL-c;Olivine;all;8.9958;1.3208;1.8956;0.35726;10116
85ZA45-AREA1-DETAIL-c;Orthopyroxene;all;3.5198;1.2373;0.76672;0.41987;24254
85ZA45-AREA1-DETAIL-c;Clinopyroxene;all;1.888;1.1636;2.3599;0.2613;5275
85ZA45-AREA1-DETAIL-c;Spinelle;all;2.9281;1.1993;1.0233;0.43072;2202
85ZA45-AREA1-DETAIL-c;Bytownite;all;3.2599;1.2133;0.31068;0.37017;707
85ZA45-AREA1-DETAIL-c;Pargasite;all;5.542;1.303;1.812;0.59233;18353
85ZA45-AREA2-DETAIL-c;Olivine;all;12.9129;1.2647;2.1478;0.5615;131519
85ZA45-AREA2-DETAIL-c;Orthopyroxene;all;6.6125;1.1945;1.1189;0.62057;162750
85ZA45-AREA2-DETAIL-c;Clinopyroxene;all;4.7121;1.1603;1.8292;0.38635;16823
85ZA45-AREA2-DETAIL-c;Spinelle;all;6.195;1.1841;1.9894;0.60101;17118
85ZA45-AREA2-DETAIL-c;Bytownite;all;6.5794;1.2014;0.81265;0.73013;9251
85ZA45-AREA2-DETAIL-c;Pargasite;all;8.8334;1.2474;1.6441;1.0845;147393
85ZA11Z1-CP-c;Olivine;all;11.5938;1.28;1.885;0.59303;32805
85ZA11Z1-CP-c;Orthopyroxene;all;5.8644;1.1905;0.77376;0.76611;35160
85ZA11Z1-CP-c;Clinopyroxene;all;5.6143;1.1857;0.53714;0.54436;6285
85ZA11Z1-CP-c;Spinelle;all;3.7669;1.158;0.27078;1.0297;1558
85ZA11Z1-CP-c;Pargasite;all;15.2693;1.2995;1.2542;0.44305;5252
85ZA11Z2-CP-c;Olivine;all;9.3725;1.2927;1.9951;0.50424;22723
85ZA11Z2-CP-c;Orthopyroxene;all;5.798;1.2221;1.0433;0.59487;29584
85ZA11Z2-CP-c;Clinopyroxene;all;4.077;1.1838;0.66607;0.42116;5864
85ZA11Z2-CP-c;Spinelle;all;3.2076;1.1678;0.78733;0.63257;1730
85ZA11Z2-CP-c;Pargasite;all;10.5406;1.3028;1.1963;0.38971;4504
85ZA15-c;Olivine;all;51.0858;1.2321;5.3217;1.5097;18144
85ZA15-c;Orthopyroxene;all;35.0019;1.1997;2.8901;0.6659;9928
85ZA15-c;Clinopyroxene;all;32.5297;1.1892;2.7268;1.3581;10149
85ZA15-c;Spinelle;all;27.5896;1.1743;2.719;2.21;2601
85ZA15-c;Pargasite2;all;22.3066;1.1486;0.61419;4.3066;1776
85ZA15-c;Anorthite;all;45.3249;1.252;3.0872;1.6324;4141
85ZA17-DETAIL-c;Olivine;all;25.9242;1.2327;4.7059;1.3821;65897
85ZA17-DETAIL-c;Orthopyroxene;all;18.9985;1.1868;2.3639;1.3071;56432
85ZA17-DETAIL-c;Clinopyroxene;all;19.4261;1.1882;1.4617;1.102;20615
85ZA17-DETAIL-c;Spinelle;all;16.2158;1.1693;2.4319;2.276;5972
85ZA17-DETAIL-c;Bytownite;all;23.5273;1.2233;2.9547;1.4825;20268
85ZA17-DETAIL-c;Pargasite;all;20.7391;1.2073;2.2827;1.5857;11415
85ZA17-DETAIL-c;Calcite;all;11.909;1.1463;0.0026217;0.49069;186
85ZA17-c;Olivine;all;42.7708;1.2157;4.7047;1.7507;40885
85ZA17-c;Orthopyroxene;all;32.8966;1.1806;2.6344;1.2572;27703
85ZA17-c;Clinopyroxene;all;31.137;1.174;1.4808;1.3588;18753
85ZA17-c;Spinelle;all;28.4046;1.1629;2.1168;2.2345;2576
85ZA17-c;Pargasite2;all;33.3426;1.1873;2.3278;1.9519;6920
85ZA17-c;Anorthite;all;42.6319;1.2216;2.9754;1.7909;9130
85ZA21-c;Olivine;all;81.4476;1.2789;5.2559;1.2701;13543
85ZA21-c;Orthopyroxene;all;47.0407;1.2127;4.4089;0.76787;10250
85ZA21-c;Clinopyroxene;all;43.0143;1.1978;2.6609;1.0289;7912
85ZA21-c;Spinelle;all;36.7393;1.1863;2.4383;1.5663;1402
85ZA21-c;Pargasite2;all;30.8266;1.1698;1.1818;2.5935;9237
85ZA21-c;Anorthite;all;56.4497;1.2473;2.1329;1.3257;4176
85ZA22B-c;Olivine;all;39.9948;1.2305;4.2303;1.0794;57492
85ZA22B-c;Orthopyroxene;all;30.0282;1.2077;3.1725;0.85783;47022
85ZA22B-c;Clinopyroxene;all;28.5664;1.186;2.6596;0.84151;23968
85ZA22B-c;Spinelle;all;23.5552;1.1791;1.9508;2.207;4333
85ZA22B-c;Pargasite2;all;22.1789;1.169;1.0645;1.7122;23199
85ZA22B-c;Anorthite;all;36.1179;1.2327;3.1338;1.4824;11549
85ZA26-c;Olivine;all;88.9714;1.2713;5.3883;1.0458;13207
85ZA26-c;Orthopyroxene;all;49.0137;1.2202;3.4977;0.88222;14026
85ZA26-c;Clinopyroxene;all;35.8047;1.1788;1.8576;0.9275;5884
85ZA26-c;Spinelle;all;34.4343;1.1796;1.4429;1.5742;1771
85ZA26-c;Pargasite2;all;35.6504;1.1829;1.304;1.5874;5790
85ZA26-c;Anorthite;all;53.1063;1.2323;1.9427;1.3461;2486
85ZA26C-c;Olivine;all;54.0483;1.2402;3.0255;1.3712;11361
85ZA26C-c;Orthopyroxene;all;47.377;1.2155;3.6867;1.0402;12339
85ZA26C-c;Clinopyroxene;all;55.622;1.2266;3.5702;1.0987;16532
85ZA26C-c;Spinelle;all;35.4846;1.1822;1.3258;1.5149;689
85ZA26C-c;Pargasite2;all;33.0861;1.1814;1.9129;2.3461;22456
85ZA26C-c;Anorthite;all;46.3093;1.2311;3.1469;1.8624;28394
85ZA3-c;Olivine;all;26.7467;1.1794;4.8725;1.6407;98159
85ZA3-c;Orthopyroxene;all;25.6948;1.1799;3.5228;0.92927;48113
85ZA3-c;Clinopyroxene;all;26.6672;1.1717;2.8138;0.81476;35009
85ZA3-c;Spinelle;all;21.2552;1.1591;1.3014;2.4278;2484
85ZA3-c;Pargasite2;all;20.5549;1.1516;0.7316;2.9285;46814
85ZA3-c;Anorthite;all;30.9865;1.211;3.7639;1.9033;22814
85ZA31B-MYL-CP-c;Olivine;all;5.1952;1.1451;0.031992;0.81103;73
85ZA31B-UMYL-CP-c;Olivine;all;5.0953;1.3004;2.9703;0.41077;7588
85ZA31B-UMYL-CP-c;Orthopyroxene;all;2.5598;1.24;1.3675;0.50185;11746
85ZA31B-UMYL-CP-c;Clinopyroxene;all;1.473;1.184;0.79673;0.54741;5239
85ZA31B-UMYL-CP-c;Spinelle;all;1.7095;1.1874;1.0987;0.5554;961
85ZA31B-UMYL-CP-c;Pargasite;all;5.5749;1.2657;2.1347;0.341;2380
85ZA31C-c;Olivine;all;66.3157;1.252;5.8789;2.0983;19009
85ZA31C-c;Orthopyroxene;all;47.4944;1.2113;2.5618;1.8216;14617
85ZA31C-c;Clinopyroxene;all;52.2784;1.2009;2.851;1.144;5866
85ZA31C-c;Spinelle;all;38.7453;1.1724;2.4488;2.3058;1310
85ZA31C-c;Pargasite2;all;39.247;1.1789;2.3302;3.0517;17950
85ZA31C-c;Anorthite;all;56.6052;1.2408;4.0268;2.3184;4071
85ZA36-c;Olivine;all;36.6824;1.2235;3.9077;1.1666;65493
85ZA36-c;Orthopyroxene;all;29.5662;1.2007;3.8733;0.82387;57739
