cat;sscat;subcat;J;BA;BC;AC;nb
85ZA1-c;Olivine;all;3.6581;0.37722;0.41284;0.53562;4017
85ZA1-c;Olivine;neo;2.4396;0.29605;0.29453;0.49848;1535
85ZA1-c;Olivine;porph;3.8082;0.42001;0.48684;0.56684;2482
85ZA1-c;Orthopyroxene;all;5.3331;0.64208;0.30851;0.16643;2343
85ZA1-c;Orthopyroxene;neo;2.1912;0.62318;0.30251;0.17933;1309
85ZA1-c;Orthopyroxene;porph;6.372;0.62751;0.30875;0.18124;1034
85ZA1-c;Clinopyroxene;all;6.751;0.20485;0.3446;0.63975;572
85ZA1-c;Clinopyroxene;neo;4.287;0.26248;0.20091;0.43843;344
85ZA1-c;Clinopyroxene;porph;10.0072;0.38582;0.57278;0.68697;228
85ZA45-NEW-c;Olivine;all;1.3925;0.50972;0.34082;0.3311;37447
85ZA45-NEW-c;Olivine;neo;1.1537;0.41482;0.29636;0.38154;22652
85ZA45-NEW-c;Olivine;porph;1.7807;0.64247;0.42099;0.27852;14795
85ZA45-NEW-c;Orthopyroxene;all;3.4769;0.45451;0.42202;0.4675;9377
85ZA45-NEW-c;Orthopyroxene;neo;1.1618;0.41195;0.36052;0.44856;7211
85ZA45-NEW-c;Orthopyroxene;porph;5.5106;0.50283;0.5806;0.57778;2166
85ZA45-NEW-c;Clinopyroxene;all;12.1878;0.41077;0.71016;0.79938;264
85ZA45-NEW-c;Clinopyroxene;neo;14.1051;0.39224;0.64609;0.75386;220
85ZA45-NEW-c;Clinopyroxene;porph;18.7028;0.37514;0.39719;0.52204;44
85ZA11-c;Olivine;all;2.0695;0.59168;0.35593;0.26425;47801
85ZA11-c;Olivine;neo;1.9563;0.55942;0.42671;0.36729;24232
85ZA11-c;Olivine;porph;2.3196;0.62272;0.39686;0.27414;23569
85ZA11-c;Orthopyroxene;all;7.3735;0.32051;0.60141;0.78089;2054
85ZA11-c;Orthopyroxene;neo;1.2651;0.55077;0.76744;0.71666;1284
85ZA11-c;Orthopyroxene;porph;16.6864;0.44828;0.58281;0.63454;770
85ZA11-c;Clinopyroxene;all;12.5522;0.56699;0.6181;0.55112;429
85ZA11-c;Clinopyroxene;neo;10.5382;0.58247;0.58745;0.50498;292
85ZA11-c;Clinopyroxene;porph;41.0431;0.47045;0.64885;0.6784;137
85ZA22A-c;Olivine;all;3.4156;0.36949;0.50433;0.63483;11436
85ZA22A-c;Olivine;neo;1.8395;0.3045;0.46708;0.66258;3692
85ZA22A-c;Olivine;porph;3.5531;0.39748;0.51876;0.62129;7744
85ZA22A-c;Orthopyroxene;all;7.7564;0.68021;0.42333;0.24312;5543
85ZA22A-c;Orthopyroxene;neo;3.9803;0.59166;0.44446;0.3528;2948
85ZA22A-c;Orthopyroxene;porph;9.5213;0.72821;0.34493;0.11672;2595
85ZA22A-c;Clinopyroxene;all;8.7464;0.63264;0.54545;0.41281;1272
85ZA22A-c;Clinopyroxene;neo;24.6929;0.59226;0.52072;0.42846;982
85ZA22A-c;Clinopyroxene;porph;10.0687;0.47568;0.58058;0.60491;290
85ZA37-c;Olivine;all;2.4289;0.37498;0.43943;0.56445;8733
85ZA37-c;Olivine;neo;1.4856;0.31439;0.42472;0.61033;5079
85ZA37-c;Olivine;porph;2.7011;0.43358;0.44668;0.5131;3654
85ZA37-c;Orthopyroxene;all;6.0702;0.45371;0.23362;0.27991;3752
85ZA37-c;Orthopyroxene;neo;2.4127;0.55603;0.34436;0.28833;2017
85ZA37-c;Orthopyroxene;porph;7.4748;0.5053;0.27445;0.26915;1735
85ZA37-c;Clinopyroxene;all;2.3354;0.43298;0.48679;0.55381;2207
85ZA37-c;Clinopyroxene;neo;2.1907;0.59417;0.74568;0.65151;1290
85ZA37-c;Clinopyroxene;porph;2.9334;0.32572;0.36987;0.54415;917
85Z31C-DETAIL-c;Olivine;all;2.6172;0.36006;0.54927;0.68921;25284
85Z31C-DETAIL-c;Olivine;neo;1.1836;0.36815;0.55569;0.68754;19919
85Z31C-DETAIL-c;Olivine;porph;4.9519;0.3825;0.54836;0.66586;5365
85Z31C-DETAIL-c;Orthopyroxene;all;1.5089;0.41151;0.59022;0.67872;23942
85Z31C-DETAIL-c;Orthopyroxene;neo;1.0927;0.38669;0.57861;0.69191;21468
85Z31C-DETAIL-c;Orthopyroxene;porph;6.1844;0.38558;0.48943;0.60386;2474
85Z31C-DETAIL-c;Clinopyroxene;all;19.504;0.13033;0.26355;0.63323;61
85Z31C-DETAIL-c;Clinopyroxene;neo;20.1254;0.10849;0.21216;0.60367;60
85Z31C-DETAIL-c;Clinopyroxene;porph;266.6666;0.5;0.5;0.5;1
85ZA1-DETAIL-c;Olivine;all;3.525;0.50799;0.48463;0.47664;2786
85ZA1-DETAIL-c;Olivine;neo;2.7897;0.47525;0.43992;0.46466;1445
85ZA1-DETAIL-c;Olivine;porph;3.7442;0.53475;0.52669;0.49194;1341
85ZA1-DETAIL-c;Orthopyroxene;all;10.2062;0.59849;0.42167;0.32318;2733
85ZA1-DETAIL-c;Orthopyroxene;neo;2.7513;0.59828;0.41351;0.31524;1725
85ZA1-DETAIL-c;Orthopyroxene;porph;14.2572;0.59818;0.43503;0.33686;1008
85ZA1-DETAIL-c;Clinopyroxene;all;29.2375;0.61663;0.67424;0.55761;324
85ZA1-DETAIL-c;Clinopyroxene;neo;10.1118;0.59936;0.71194;0.61258;208
85ZA1-DETAIL-c;Clinopyroxene;porph;56.7657;0.62612;0.59283;0.4667;116
85ZA11-DETAIL-c;Olivine;all;2.5936;0.33712;0.2122;0.37508;68800
85ZA11-DETAIL-c;Olivine;neo;2.305;0.30282;0.20222;0.3994;48133
85ZA11-DETAIL-c;Olivine;porph;4.1455;0.41669;0.29893;0.38223;20667
85ZA11-DETAIL-c;Orthopyroxene;all;1.0926;0.31313;0.69066;0.87753;8640
85ZA11-DETAIL-c;Orthopyroxene;neo;1.0783;0.44639;0.74709;0.8007;7043
85ZA11-DETAIL-c;Orthopyroxene;porph;1.4464;0.4544;0.82644;0.87205;1597
85ZA11-DETAIL-c;Clinopyroxene;all;2.0288;0.51892;0.70897;0.69004;3488
85ZA11-DETAIL-c;Clinopyroxene;neo;1.9753;0.52028;0.72584;0.70557;2839
