sample;triEGD;lithology;deformation;massif
85ZA1;400;peridotite;protomylonite;south
85ZA11;150;peridotite;ultramylonite;south
85ZA15;500;peridotite;ultramylonite;south
85ZA17;400;peridotite;mylonite;south
85ZA21;400;peridotite;mylonite;south
85ZA22A;400;peridotite;protomylonite;south
85ZA22B;1500;peridotite;mylonite;south
85ZA26;400;peridotite;protomylonite;south
85ZA26C;300;peridotite-pyroxenite;mylonite;south
85ZA3;500;peridotite-pyroxenite;mylonite;south
85ZA31B;10;peridotite;ultramylonite;south
85ZA31C;200;peridotite-pyroxenite;mylonite;south
85ZA36;300;peridotite-pyroxenite;mylonite;south
85ZA37;800;peridotite;mylonite;south
85ZA38;300;peridotite;mylonite;south
85ZA41;400;peridotite;protomylonite;north
85ZA42B;400;pyroxenite;protomylonite;north
85ZA43;100;peridotite;ultramylonite;north
85ZA43B;100;peridotite;ultramylonite;north
85ZA45;200;peridotite;ultramylonite;north
85ZA48;400;peridotite;ultramylonite;north
85ZA50;400;peridotite;mylonite;north
85ZA51;150;peridotite;mylonite;north
85ZA61A;300;amphibolite;ultramylonite;center
85ZA63;200;peridotite-pyroxenite;ultramylonite;center
85ZA65;500;peridotite-pyroxenite;protomylonite;center
85ZA66;400;pyroxenite;ultramylonite;center
85ZA71;500;peridotite-pyroxenite;mylonite;south
85ZA71-1;500;peridotite;mylonite;south
85ZA71-12;200;peridotite;ultramylonite;south
85ZA71-13;500;peridotite;ultramylonite;south
85ZA71-13;500;peridotite;ultramylonite;south
85ZA71-2;500;peridotite;mylonite;south
85ZA71-3;500;peridotite;mylonite;south
85ZA7B;200;peridotite;mylonite;south
85ZA9;400;peridotite-pyroxenite;protomylonite;south
85ZF2;500;peridotite;mylonite;south
86Z30;300;peridotite-pyroxenite;protomylonite;center
86Z31A;80;peridotite;protomylonite;center
86Z31B;400;pyroxenite;protomylonite;center
86Z31C;400;peridotite;ultramylonite;center
