cat	data	value
85ZA71-1	XCells	1733
85ZA71-1	YCells	589
85ZA71-1	XStep	20.0000
85ZA71-1	YStep	20.0000
85ZA36	XCells	1932
85ZA36	YCells	1034
85ZA36	XStep	17.0000
85ZA36	YStep	17.0000
85ZA3	XCells	1967
85ZA3	YCells	1022
85ZA3	XStep	17.0000
85ZA3	YStep	17.0000
85ZA71-13	XCells	2019
85ZA71-13	YCells	1959
85ZA71-13	XStep	7.0000
85ZA71-13	YStep	7.0000
85ZA21	XCells	1415
85ZA21	YCells	636
85ZA21	XStep	25.0000
85ZA21	YStep	25.0000
85ZA51	XCells	621
85ZA51	YCells	500
85ZA51	XStep	35.0000
85ZA51	YStep	35.0000
85ZA71-3	XCells	2030
85ZA71-3	YCells	986
85ZA71-3	XStep	18.0000
85ZA71-3	YStep	18.0000
85ZA26c	XCells	1360
85ZA26c	YCells	646
85ZA26c	XStep	24.0000
85ZA26c	YStep	24.0000
85ZA71-12-new	XCells	1325
85ZA71-12-new	YCells	677
85ZA71-12-new	XStep	26.0000
85ZA71-12-new	YStep	26.0000
86Z31a	XCells	1317
86Z31a	YCells	635
86Z31a	XStep	27.0000
86Z31a	YStep	27.0000
85ZA11Z2-cp	XCells	1127
85ZA11Z2-cp	YCells	920
85ZA11Z2-cp	XStep	2.5000
85ZA11Z2-cp	YStep	2.5000
85ZA43	XCells	1340
85ZA43	YCells	800
85ZA43	XStep	19.0000
85ZA43	YStep	19.0000
85ZA11	XCells	2014
85ZA11	YCells	1018
85ZA11	XStep	17.0000
85ZA11	YStep	17.0000
85ZA31c	XCells	1169
85ZA31c	YCells	599
85ZA31c	XStep	28.0000
85ZA31c	YStep	28.0000
85ZA17	XCells	1642
85ZA17	YCells	707
85ZA17	XStep	22.0000
85ZA17	YStep	22.0000
85ZA66	XCells	2343
85ZA66	YCells	1135
85ZA66	XStep	16.0000
85ZA66	YStep	16.0000
85ZA48	XCells	2000
85ZA48	YCells	935
85ZA48	XStep	18.0000
85ZA48	YStep	18.0000
85ZA63	XCells	2009
85ZA63	YCells	1021
85ZA63	XStep	17.0000
85ZA63	YStep	17.0000
85ZA31b-umyl-cp	XCells	1216
85ZA31b-umyl-cp	YCells	988
85ZA31b-umyl-cp	XStep	1.0000
85ZA31b-umyl-cp	YStep	1.0000
85ZA43b	XCells	1920
85ZA43b	YCells	1001
85ZA43b	XStep	17.0000
85ZA43b	YStep	17.0000
86Z30	XCells	1317
86Z30	YCells	684
86Z30	XStep	25.0000
86Z30	YStep	25.0000
85ZA71-13large	XCells	1111
85ZA71-13large	YCells	603
85ZA71-13large	XStep	28.0000
85ZA71-13large	YStep	28.0000
85ZA38	XCells	1253
85ZA38	YCells	587
85ZA38	XStep	30.0000
85ZA38	YStep	30.0000
85ZA42b	XCells	1016
85ZA42b	YCells	593
85ZA42b	XStep	29.0000
85ZA42b	YStep	29.0000
85ZA61a	XCells	2092
85ZA61a	YCells	995
85ZA61a	XStep	17.0000
85ZA61a	YStep	17.0000
86Z31b	XCells	894
86Z31b	YCells	474
86Z31b	XStep	35.0000
86Z31b	YStep	35.0000
85ZA71	XCells	1897
85ZA71	YCells	936
85ZA71	XStep	18.0000
85ZA71	YStep	18.0000
85ZA50	XCells	2010
85ZA50	YCells	972
85ZA50	XStep	18.0000
85ZA50	YStep	18.0000
85ZA45-new	XCells	2004
85ZA45-new	YCells	1105
85ZA45-new	XStep	14.0000
85ZA45-new	YStep	14.0000
85ZA9	XCells	1494
85ZA9	YCells	747
85ZA9	XStep	22.0000
85ZA9	YStep	22.0000
85ZF2	XCells	1482
85ZF2	YCells	701
85ZF2	XStep	20.0000
85ZF2	YStep	20.0000
85ZA22A	XCells	1983
85ZA22A	YCells	1167
85ZA22A	XStep	15.0000
85ZA22A	YStep	15.0000
85ZA22b	XCells	2087
85ZA22b	YCells	1040
85ZA22b	XStep	17.0000
85ZA22b	YStep	17.0000
85ZA43b-umyl-cp	XCells	2204
85ZA43b-umyl-cp	YCells	927
85ZA43b-umyl-cp	XStep	2.0000
85ZA43b-umyl-cp	YStep	2.0000
85ZA31b-myl-cp	XCells	708
85ZA31b-myl-cp	YCells	1135
85ZA31b-myl-cp	XStep	5.0000
85ZA31b-myl-cp	YStep	5.0000
85ZA15	XCells	1658
85ZA15	YCells	823
85ZA15	XStep	20.0000
85ZA15	YStep	20.0000
85ZA45microZ2	XCells	734
85ZA45microZ2	YCells	1146
85ZA45microZ2	XStep	5.0000
85ZA45microZ2	YStep	5.0000
86Z31c	XCells	1960
86Z31c	YCells	1043
86Z31c	XStep	16.0000
86Z31c	YStep	16.0000
85ZA41	XCells	2164
85ZA41	YCells	992
85ZA41	XStep	16.0000
85ZA41	YStep	16.0000
85ZA37	XCells	1391
85ZA37	YCells	665
85ZA37	XStep	27.0000
85ZA37	YStep	27.0000
85ZA7b-new	XCells	2027
85ZA7b-new	YCells	1038
85ZA7b-new	XStep	16.0000
85ZA7b-new	YStep	16.0000
85ZA45microZ3	XCells	1088
85ZA45microZ3	YCells	1153
85ZA45microZ3	XStep	5.0000
85ZA45microZ3	YStep	5.0000
85ZA45microZ1	XCells	1053
85ZA45microZ1	YCells	887
85ZA45microZ1	XStep	5.0000
85ZA45microZ1	YStep	5.0000
85ZA1	XCells	1423
85ZA1	YCells	724
85ZA1	XStep	24.0000
85ZA1	YStep	24.0000
85ZA11Z1-cp	XCells	1444
85ZA11Z1-cp	YCells	708
85ZA11Z1-cp	XStep	3.5000
85ZA11Z1-cp	YStep	3.5000
85ZA26	XCells	1430
85ZA26	YCells	668
85ZA26	XStep	25.0000
85ZA26	YStep	25.0000
85ZA65	XCells	733
85ZA65	YCells	377
85ZA65	XStep	44.0000
85ZA65	YStep	44.0000
85ZA71-2	XCells	2132
85ZA71-2	YCells	1005
85ZA71-2	XStep	17.0000
85ZA71-2	YStep	17.0000
