cat;catRaw;catEBSD;microscope;EDS;sample;thinSection;YCells;XCells;YStep;XStep
85Z31C-DETAIL-c;85Z31C-DETAIL-r;85Z31C-DETAIL;CAMSCAN CRYSTAL PROBE X500FE;y;85Z31C;85Z31C;;;;
85ZA1-DETAIL-c;85ZA1-DETAIL-r;85ZA1-DETAIL;CAMSCAN CRYSTAL PROBE X500FE;y;85ZA1;85ZA1;1267.0;1250.0;10.0;10.0
85ZA1-c;85ZA1-r;85ZA1;JEOL 5600;n;85ZA1;85ZA1;;;;
85ZA11-DETAIL-c;85ZA11-DETAIL-r;85ZA11-DETAIL;CAMSCAN CRYSTAL PROBE X500FE;y;85ZA11;85ZA11;;;;
85ZA11-MICRO1-c;85ZA11-MICRO1-r;85ZA11-MICRO1;JEOL 5600;n;85ZA11;85ZA11;;;;
85ZA11-MICRO2-c;85ZA11-MICRO2-r;85ZA11-MICRO2;JEOL 5600;n;85ZA11;85ZA11;;;;
85ZA11-c;85ZA11-r;85ZA11;JEOL 5600;n;85ZA11;85ZA11;;;;
85ZA11Z1-CP-c;85ZA11Z1-CP-r;85ZA11Z1-CP;CAMSCAN CRYSTAL PROBE X500FE;n;85ZA11;85ZA11;;;;
85ZA11Z2-CP-c;85ZA11Z2-CP-r;85ZA11Z2-CP;CAMSCAN CRYSTAL PROBE X500FE;n;85ZA11;85ZA11;;;;
85ZA15-c;85ZA15-r;85ZA15;JEOL 5600;n;85ZA15;85ZA15;;;;
85ZA17-DETAIL-c;85ZA17-DETAIL-r;85ZA17-DETAIL;CAMSCAN CRYSTAL PROBE X500FE;y;85ZA17;85ZA17;;;;
85ZA17-c;85ZA17-r;85ZA17;JEOL 5600;n;85ZA17;85ZA17;;;;
85ZA21-c;85ZA21-r;85ZA21;JEOL 5600;n;85ZA21;85ZA21;;;;
85ZA22A-c;85ZA22A-r;85ZA22A;JEOL 5600;n;85ZA22A;85ZA22A;;;;
85ZA22B-c;85ZA22B-r;85ZA22B;JEOL 5600;n;85ZA22B;85ZA22B;;;;
85ZA26-c;85ZA26-r;85ZA26;JEOL 5600;n;85ZA26;85ZA26;;;;
85ZA26C-c;85ZA26C-r;85ZA26C;JEOL 5600;n;85ZA26C;85ZA26C;;;;
85ZA3-c;85ZA3-r;85ZA3;JEOL 5600;n;85ZA3;85ZA3;;;;
